imageNr,layerNr,approx1,approx2,approx3,approx4,approx5,approx6,approx7,approx8
25,7,1203.0,1378.0,1334.0,1179.0,1468.0,1137.0,979.0,1040.0
25,8,1447.0,1383.0,1394.0,1293.0,1419.0,1399.0,1357.0,1440.0
26,1,273803.0,340865.0,223316.0,310068.0,300305.0,333281.0,206836.0,207076.0
26,2,91878.0,111960.0,75320.0,103024.0,101270.0,111458.0,69918.0,69673.0
26,3,62608.0,76761.0,51284.0,70525.0,68905.0,75990.0,48002.0,47326.0
26,4,41932.0,53710.0,34286.0,48696.0,47759.0,52628.0,33542.0,34752.0
26,5,11913.0,14493.0,9515.0,13295.0,14144.0,15317.0,10961.0,11566.0
26,6,1903.0,2360.0,1693.0,2367.0,2150.0,2250.0,2202.0,2285.0
26,7,1520.0,1538.0,1211.0,1523.0,1422.0,1633.0,1515.0,1633.0
26,8,1710.0,1591.0,1406.0,1624.0,1699.0,1408.0,1878.0,2033.0
27,1,223386.0,142145.0,211451.0,283621.0,281004.0,180886.0,294317.0,294035.0
27,2,75435.0,48858.0,71465.0,95337.0,94512.0,60952.0,99316.0,98543.0
27,3,51210.0,33518.0,48366.0,64850.0,63764.0,41203.0,67399.0,66563.0
27,4,36480.0,25914.0,32968.0,43423.0,45894.0,30698.0,45244.0,45853.0
27,5,12209.0,7560.0,9298.0,9504.0,13541.0,9754.0,11091.0,11509.0
27,6,2679.0,1732.0,1633.0,2168.0,3004.0,1935.0,1898.0,2053.0
27,7,968.0,734.0,693.0,908.0,1116.0,705.0,650.0,666.0
27,8,1019.0,835.0,620.0,862.0,1048.0,770.0,754.0,762.0
28,1,330130.0,300544.0,318670.0,292287.0,367999.0,362280.0,354995.0,355249.0
28,2,111749.0,101822.0,107949.0,99621.0,124124.0,122207.0,120055.0,119773.0
28,3,75631.0,69271.0,73158.0,67397.0,83970.0,82753.0,81431.0,81004.0
28,4,51348.0,49402.0,48638.0,47577.0,56759.0,58760.0,56911.0,57754.0
28,5,12354.0,12426.0,11129.0,11161.0,13127.0,16815.0,16143.0,16317.0
28,6,3393.0,2751.0,3237.0,2227.0,3976.0,3247.0,2201.0,2324.0
28,7,1061.0,1623.0,1319.0,1035.0,1271.0,1449.0,902.0,945.0
28,8,915.0,1248.0,967.0,1150.0,1031.0,1517.0,838.0,2089.0
29,1,486963.0,222152.0,296106.0,243313.0,227529.0,59253.0,239176.0,239020.0
29,2,163497.0,73688.0,99634.0,80667.0,76666.0,19810.0,80872.0,80199.0
29,3,111265.0,50682.0,67816.0,55045.0,52091.0,13374.0,55398.0,54522.0
29,4,70117.0,36538.0,43301.0,39015.0,34968.0,12022.0,38531.0,39453.0
29,5,12599.0,8329.0,9061.0,8040.0,8284.0,3837.0,9639.0,10244.0
29,6,2535.0,1550.0,3147.0,2523.0,2389.0,1795.0,2309.0,2538.0
29,7,1566.0,723.0,1076.0,1289.0,884.0,834.0,963.0,1100.0
29,8,1228.0,300.0,1806.0,1507.0,511.0,251.0,608.0,660.0
30,1,256095.0,299448.0,276943.0,210758.0,283269.0,233512.0,426800.0,427137.0
30,2,86531.0,99467.0,93437.0,71515.0,95503.0,78530.0,144037.0,143637.0
30,3,58746.0,68802.0,63220.0,48393.0,64519.0,53126.0,97847.0,97200.0
30,4,40760.0,48067.0,44818.0,37996.0,47027.0,39079.0,65756.0,65637.0
30,5,12828.0,12789.0,13387.0,11732.0,13890.0,10828.0,15551.0,15750.0
30,6,2407.0,1777.0,2416.0,2313.0,1483.0,2100.0,2444.0,2575.0
30,7,1573.0,838.0,1355.0,989.0,621.0,1100.0,1393.0,1444.0
30,8,1418.0,199.0,795.0,1131.0,530.0,1140.0,1007.0,951.0
31,1,214114.0,211931.0,279328.0,173938.0,190853.0,197409.0,294844.0,295196.0
31,2,71929.0,70735.0,93963.0,58248.0,64301.0,66106.0,99641.0,98958.0
31,3,49012.0,48815.0,63990.0,39813.0,43778.0,45071.0,68418.0,67472.0
31,4,31986.0,36545.0,42217.0,29919.0,29940.0,31016.0,47188.0,47374.0
31,5,6973.0,10252.0,10086.0,7506.0,8130.0,6618.0,12290.0,12623.0
31,6,2323.0,2345.0,1797.0,2120.0,2100.0,2235.0,2116.0,2150.0
31,7,828.0,1192.0,1195.0,1088.0,898.0,755.0,1131.0,1135.0
31,8,401.0,847.0,2778.0,592.0,742.0,459.0,787.0,802.0
32,1,299245.0,265580.0,192026.0,250861.0,268762.0,391250.0,349993.0,349845.0
32,2,100776.0,89115.0,64702.0,85149.0,90908.0,131467.0,118283.0,117602.0
32,3,68268.0,61598.0,43782.0,57807.0,61750.0,89195.0,80331.0,79681.0
32,4,46977.0,44403.0,33323.0,42124.0,46264.0,61426.0,54954.0,55346.0
32,5,11645.0,12215.0,10810.0,11644.0,15651.0,14913.0,14309.0,14626.0
32,6,2339.0,1659.0,1129.0,1603.0,2530.0,2098.0,2195.0,2166.0
32,7,1024.0,658.0,666.0,812.0,1268.0,994.0,1166.0,1142.0
32,8,893.0,307.0,825.0,586.0,817.0,617.0,481.0,485.0
33,1,288220.0,326877.0,257185.0,339633.0,302681.0,409734.0,310449.0,310546.0
33,2,97452.0,107071.0,86890.0,114164.0,102373.0,137629.0,105114.0,104940.0
33,3,66285.0,72889.0,58844.0,77643.0,69572.0,93720.0,71844.0,71286.0
33,4,43482.0,51989.0,40912.0,52519.0,45314.0,65268.0,46460.0,47104.0
33,5,10892.0,14349.0,13182.0,13196.0,10576.0,19327.0,10349.0,11098.0
33,6,3194.0,2361.0,2299.0,3230.0,2836.0,2812.0,2650.0,3008.0
33,7,1476.0,1082.0,978.0,1083.0,1149.0,966.0,1001.0,1219.0
33,8,2491.0,1801.0,1899.0,1447.0,2275.0,1299.0,2255.0,2304.0
34,1,260906.0,279212.0,235039.0,230187.0,285524.0,327604.0,292782.0,292975.0
34,2,87986.0,94021.0,79485.0,78494.0,96438.0,110245.0,98956.0,98785.0
34,3,59523.0,64143.0,53791.0,53176.0,65320.0,75045.0,67353.0,66744.0
34,4,42001.0,45069.0,36435.0,40170.0,45086.0,55367.0,46928.0,47525.0
34,5,13013.0,12605.0,9433.0,12062.0,12289.0,16888.0,14453.0,15107.0
34,6,2049.0,2013.0,1689.0,1702.0,2748.0,2356.0,2096.0,2208.0
34,7,1326.0,1389.0,1009.0,999.0,1832.0,1431.0,1140.0,1180.0
34,8,661.0,1354.0,864.0,508.0,1059.0,802.0,1946.0,1700.0
35,1,285074.0,330746.0,316910.0,267172.0,333276.0,253015.0,299358.0,299422.0
35,2,96561.0,111155.0,106995.0,89719.0,112596.0,85280.0,101366.0,101183.0
35,3,65724.0,75716.0,72531.0,60863.0,76327.0,57836.0,69132.0,68687.0
35,4,46213.0,55014.0,51087.0,47217.0,53776.0,43007.0,49821.0,50394.0
35,5,13931.0,16525.0,16128.0,16709.0,16225.0,14363.0,15369.0,15795.0
35,6,2169.0,3130.0,1540.0,1303.0,2535.0,1204.0,2354.0,2350.0
35,7,1432.0,1298.0,711.0,547.0,1302.0,549.0,1189.0,1162.0
35,8,1079.0,1124.0,769.0,1271.0,1123.0,356.0,1152.0,1093.0
36,1,309307.0,330437.0,225679.0,299029.0,288787.0,213064.0,175574.0,175673.0
36,2,104201.0,108878.0,76093.0,99485.0,97193.0,72114.0,59406.0,59416.0
36,3,70831.0,74271.0,51603.0,67722.0,65848.0,48879.0,40717.0,40163.0
36,4,49836.0,51705.0,37502.0,50272.0,46390.0,35072.0,29605.0,30965.0
36,5,15502.0,13319.0,12307.0,15142.0,12163.0,10852.0,10709.0,11265.0
36,6,2539.0,2220.0,2218.0,2352.0,1849.0,2191.0,1871.0,1893.0
36,7,1170.0,989.0,1621.0,1128.0,939.0,1144.0,677.0,715.0
36,8,1996.0,1985.0,1663.0,1377.0,1378.0,855.0,1280.0,1064.0
37,1,300401.0,43389.0,219257.0,206719.0,311155.0,83926.0,182317.0,182567.0
37,2,100994.0,16035.0,73853.0,69360.0,104747.0,28547.0,61627.0,61487.0
37,3,68873.0,11637.0,50117.0,47565.0,71070.0,19313.0,42321.0,41668.0
37,4,44852.0,12326.0,33182.0,34180.0,50600.0,15245.0,28763.0,30226.0
37,5,10054.0,4302.0,7668.0,8737.0,14585.0,3737.0,6603.0,7442.0
37,6,3028.0,1708.0,2083.0,2353.0,1958.0,2017.0,2131.0,2387.0
37,7,1177.0,807.0,746.0,997.0,809.0,748.0,1113.0,1307.0
37,8,3988.0,372.0,1298.0,408.0,1213.0,403.0,593.0,647.0
38,1,294690.0,195028.0,267733.0,228811.0,236838.0,280212.0,369535.0,369942.0
38,2,99287.0,65063.0,90200.0,77336.0,79887.0,93831.0,124684.0,124304.0
38,3,67459.0,44604.0,61370.0,52753.0,54245.0,63814.0,84842.0,84172.0
38,4,46652.0,34703.0,42541.0,38716.0,42502.0,45896.0,57252.0,57353.0
38,5,13976.0,10551.0,13094.0,11219.0,15381.0,13328.0,15279.0,15001.0
38,6,2210.0,1513.0,1423.0,2259.0,1627.0,1999.0,2040.0,2155.0
38,7,1644.0,678.0,573.0,1245.0,774.0,1015.0,1222.0,1205.0
